Date,S1,S2,S3,S4,SB,SD
2024-02-26,22.2,19.5,22.8,19.9,17.8,25.0
2024-02-27,22.8,19.9,22.8,20.0,17.5,24.8
2024-02-28,23.4,20.4,23.1,20.1,18.1,25.4
2024-02-29,23.1,20.3,23.3,20.6,18.2,25.2
2024-03-01,23.8,20.5,23.8,20.4,18.6,25.6
2024-03-02,24.0,21.0,23.8,21.0,18.7,25.9
2024-03-03,23.8,20.6,24.2,20.9,19.2,26.0
2024-03-04,24.1,21.2,24.2,20.7,19.3,26.4
2024-03-05,24.1,21.0,24.6,21.2,19.5,26.7
2024-03-06,24.8,21.8,24.5,21.6,19.9,26.6
2024-03-07,25.0,21.8,25.0,21.6,19.6,26.7
2024-03-08,25.1,22.2,25.2,22.1,20.2,26.9
2024-03-09,25.4,22.2,25.0,22.0,20.1,27.6
2024-03-10,25.3,22.5,25.1,22.7,20.7,27.8
2024-03-11,25.8,22.3,25.6,22.9,20.6,27.6
2024-03-12,25.9,23.2,26.0,22.9,20.9,27.6
2024-03-13,26.3,23.2,26.3,23.4,21.4,27.8
2024-03-14,26.2,23.3,26.5,23.2,21.5,28.4
2024-03-15,26.7,23.8,26.3,23.7,21.7,28.4
2024-03-16,26.8,23.6,27.0,23.7,21.8,28.9
2024-03-17,26.8,24.3,26.9,24.0,22.0,29.0
2024-03-18,27.5,24.5,27.1,24.6,22.5,29.5
2024-03-19,27.5,24.5,27.4,24.2,22.6,28.9
2024-03-20,27.5,24.6,27.8,24.3,22.6,29.9
2024-03-21,28.0,25.1,28.0,24.8,23.0,30.0
2024-03-22,27.9,25.0,28.6,25.3,23.1,30.2
2024-03-23,28.5,25.5,28.7,25.5,23.6,30.6
2024-03-24,28.6,25.9,28.5,25.3,23.8,30.7
2024-03-25,28.9,25.7,29.1,25.5,23.8,31.1
2024-03-26,29.2,26.4,28.9,26.1,24.4,31.0
2024-03-27,29.3,26.1,29.4,26.4,24.5,31.5
2024-03-28,29.5,26.6,29.7,26.8,24.7,31.5
2024-03-29,30.1,27.0,30.0,27.1,24.5,31.9
2024-03-30,30.2,27.1,30.4,27.0,25.4,32.5
2024-03-31,30.1,27.4,30.3,27.5,25.4,32.2
2024-04-01,30.8,27.5,31.0,27.5,25.9,32.7
2024-04-02,30.7,27.9,31.0,28.0,26.0,33.0
2024-04-03,31.2,28.4,31.3,28.1,26.0,33.3
2024-04-04,31.7,28.5,31.4,28.4,26.1,34.0
2024-04-05,32.3,28.3,32.0,28.6,26.6,34.3
2024-04-06,32.0,29.2,32.4,29.0,26.8,34.3
2024-04-07,32.9,29.3,32.8,28.9,27.1,34.8
2024-04-08,33.2,29.5,32.8,29.9,27.8,35.2
2024-04-09,33.1,29.8,33.4,29.8,27.4,35.5
2024-04-10,33.8,30.3,33.8,30.1,27.7,36.0
2024-04-11,34.0,30.3,33.9,30.1,28.3,36.7
2024-04-12,34.3,31.0,34.3,30.8,28.2,36.5
2024-04-13,34.9,30.9,34.8,31.0,28.8,37.5
2024-04-14,35.0,31.2,35.6,31.2,28.7,37.4
2024-04-15,35.8,31.7,35.5,31.6,28.9,38.2
2024-04-16,36.0,31.9,36.0,32.0,29.5,38.4
2024-04-17,36.3,32.1,36.7,31.6,29.5,38.9
2024-04-18,36.9,32.6,36.8,32.5,30.1,39.3
2024-04-19,37.0,32.1,36.9,32.8,30.0,39.3
2024-04-20,37.5,33.0,37.6,32.7,30.7,40.1
2024-04-21,37.6,33.3,37.9,33.6,30.6,40.3
2024-04-22,38.1,33.2,38.7,33.6,31.4,40.8
2024-04-23,38.7,34.0,38.4,33.7,31.3,41.6
2024-04-24,39.2,34.3,39.1,34.3,31.8,41.4
2024-04-25,39.6,34.5,39.9,34.6,32.0,41.9
2024-04-26,40.0,34.4,39.9,34.9,31.8,42.4
2024-04-27,40.3,35.2,41.2,35.1,32.4,43.4
2024-04-28,41.6,35.7,40.9,35.7,32.7,43.1
2024-04-29,42.6,35.9,41.8,35.8,33.0,43.9
2024-04-30,42.0,36.1,42.4,36.5,33.1,43.9
2024-05-01,42.8,36.3,42.6,36.7,32.9,45.0
2024-05-02,43.4,36.7,42.9,36.9,33.6,45.7
2024-05-03,43.3,37.2,43.4,37.6,34.0,46.6
2024-05-04,45.0,37.5,44.3,37.7,33.7,47.1
2024-05-05,45.7,38.1,44.8,38.0,34.3,46.6
2024-05-06,45.4,38.5,46.2,37.8,34.3,47.4
2024-05-07,46.0,38.3,46.0,39.0,34.7,48.0
2024-05-08,47.1,38.8,46.8,39.5,35.2,48.9
2024-05-09,47.8,40.1,47.1,39.2,35.5,49.1
2024-05-10,48.3,39.2,48.1,39.9,35.5,49.5
2024-05-11,48.3,40.1,48.5,40.3,35.7,50.4
2024-05-12,49.4,40.7,49.4,40.4,36.1,50.0
2024-05-13,50.0,40.4,49.3,41.1,36.4,51.8
2024-05-14,50.6,41.1,51.2,41.5,36.8,50.6
2024-05-15,51.8,41.3,50.4,41.6,37.0,52.3
2024-05-16,52.2,42.4,51.9,42.0,36.9,53.5
2024-05-17,51.6,42.2,52.7,42.8,36.8,53.5
2024-05-18,52.6,42.3,52.5,43.0,37.4,53.5
2024-05-19,53.5,43.1,53.4,42.9,37.9,54.3
2024-05-20,54.1,43.0,52.9,42.7,38.0,54.2
2024-05-21,55.3,43.1,54.6,43.7,38.3,55.3
2024-05-22,55.0,43.5,55.0,44.2,38.8,54.9
2024-05-23,56.9,44.1,56.7,44.8,38.9,55.3
2024-05-24,55.9,45.2,56.3,44.3,39.2,57.3
2024-05-25,56.9,45.4,56.5,45.5,39.4,57.4
2024-05-26,57.4,45.0,57.7,45.6,39.4,57.7
2024-05-27,57.1,45.3,57.3,45.8,39.1,57.8
2024-05-28,59.0,45.9,58.5,46.0,40.1,58.5
2024-05-29,58.3,46.2,59.3,46.1,39.6,59.0
2024-05-30,60.4,46.3,60.0,47.0,39.9,59.7
2024-05-31,59.8,47.3,60.1,47.0,40.5,60.4
2024-06-01,60.4,47.5,60.0,46.8,40.6,60.8
2024-06-02,61.6,47.9,61.0,48.0,40.2,60.4
2024-06-03,62.1,48.0,60.8,47.3,40.7,61.6
2024-06-04,61.0,47.3,62.8,48.0,41.1,61.7
2024-06-05,61.1,48.9,62.7,47.9,41.0,61.9
2024-06-06,64.1,48.3,62.9,48.3,41.7,61.1
2024-06-07,63.5,49.0,62.3,48.8,41.7,62.3
2024-06-08,64.3,49.5,63.3,49.3,40.6,63.2
2024-06-09,63.8,49.5,63.6,49.7,41.6,63.1
2024-06-10,64.8,48.9,63.9,49.3,42.0,63.5
2024-06-11,64.6,49.6,64.4,49.6,42.4,64.4
2024-06-12,65.0,50.5,65.0,50.0,41.7,64.3
2024-06-13,65.0,49.9,65.0,50.3,42.2,64.5
2024-06-14,65.0,50.2,65.0,49.9,42.5,65.0
2024-06-15,65.0,50.8,65.0,50.5,41.6,64.9
2024-06-16,65.0,50.3,65.0,50.8,42.6,64.4
2024-06-17,65.0,50.2,65.0,50.7,42.9,65.0
2024-06-18,65.0,50.4,65.0,50.9,42.6,65.0
2024-06-19,65.0,50.9,65.0,50.0,43.0,65.0
2024-06-20,65.0,50.6,65.0,51.4,42.4,65.0
2024-06-21,65.0,50.9,65.0,51.1,42.9,65.0
2024-06-22,65.0,51.8,65.0,51.0,42.7,65.0
2024-06-23,65.0,50.8,65.0,51.5,42.8,65.0
2024-06-24,65.0,51.5,65.0,50.9,43.2,65.0
2024-06-25,65.0,50.7,65.0,52.2,42.9,65.0
2024-06-26,65.0,51.3,65.0,52.0,42.6,65.0
2024-06-27,65.0,52.2,65.0,52.0,43.7,65.0
2024-06-28,65.0,52.0,65.0,51.3,43.8,65.0
2024-06-29,65.0,52.6,65.0,50.8,43.5,65.0
2024-06-30,65.0,51.3,65.0,51.9,43.6,65.0
2024-07-01,65.0,51.3,65.0,51.2,43.1,65.0
2024-07-02,65.0,51.3,65.0,52.0,43.5,65.0
2024-07-03,65.0,52.1,65.0,51.2,42.8,65.0
2024-07-04,65.0,51.9,65.0,52.4,43.2,65.0
2024-07-05,65.0,51.8,65.0,52.1,43.2,65.0
2024-07-06,65.0,52.1,65.0,51.4,43.3,65.0
2024-07-07,65.0,52.0,65.0,51.9,43.3,65.0
2024-07-08,65.0,51.3,65.0,51.6,43.7,65.0
2024-07-09,65.0,52.0,65.0,50.7,43.3,65.0
2024-07-10,65.0,51.6,65.0,51.6,43.0,65.0
2024-07-11,65.0,51.1,65.0,51.4,42.8,65.0
2024-07-12,65.0,51.9,65.0,51.2,43.2,65.0
2024-07-13,65.0,51.4,65.0,50.5,42.5,65.0
2024-07-14,65.0,50.7,65.0,51.1,43.1,65.0
2024-07-15,65.0,51.1,65.0,50.7,42.6,65.0
2024-07-16,65.0,50.7,65.0,50.9,42.0,65.0
2024-07-17,65.0,51.1,65.0,50.3,42.2,65.0
2024-07-18,65.0,51.0,65.0,50.7,42.8,65.0
2024-07-19,65.0,50.4,65.0,51.0,42.6,64.1
2024-07-20,65.0,50.2,65.0,49.8,42.5,64.8
2024-07-21,65.0,50.3,65.0,50.0,42.4,64.5
2024-07-22,63.9,49.8,64.7,49.5,42.0,64.5
2024-07-23,65.0,49.7,65.0,49.8,41.8,64.5
2024-07-24,65.0,48.9,64.1,49.9,41.6,63.1
2024-07-25,63.9,48.8,63.8,49.0,41.0,63.9
2024-07-26,64.1,48.8,63.5,48.3,41.5,62.6
2024-07-27,62.7,48.6,63.6,49.0,41.7,62.8
2024-07-28,63.1,48.2,63.9,48.1,41.2,62.7
2024-07-29,62.0,47.9,62.2,48.2,40.7,62.7
2024-07-30,61.9,47.7,61.6,48.1,40.9,61.5
2024-07-31,61.5,47.8,61.7,47.8,41.1,61.2
2024-08-01,61.2,47.9,61.2,46.7,40.6,60.6
2024-08-02,59.5,47.0,60.8,46.6,40.7,59.8
2024-08-03,60.3,46.7,60.3,46.1,40.0,59.7
2024-08-04,59.3,46.8,59.5,47.3,39.6,59.3
2024-08-05,60.3,46.7,58.5,45.8,40.0,58.7
2024-08-06,58.2,46.4,58.5,45.8,39.5,57.5
2024-08-07,58.1,45.0,58.5,45.0,39.3,57.8
2024-08-08,57.0,45.6,57.3,45.3,38.7,56.9
2024-08-09,57.7,44.5,56.5,44.9,39.1,56.6
2024-08-10,56.4,44.9,57.0,44.4,38.6,57.1
2024-08-11,56.4,45.0,56.0,44.4,38.7,56.3
2024-08-12,55.9,44.4,55.5,44.2,38.2,55.6
2024-08-13,55.0,43.8,54.1,43.4,38.1,55.5
2024-08-14,53.5,43.8,54.2,43.4,38.0,54.3
2024-08-15,53.6,42.8,53.2,43.1,38.0,53.7
2024-08-16,53.0,42.6,53.0,42.6,37.3,53.5
2024-08-17,51.7,41.9,51.8,42.0,37.4,53.0
2024-08-18,51.7,42.1,51.5,41.9,36.8,53.2
2024-08-19,51.1,42.2,51.3,41.9,36.6,52.6
2024-08-20,49.6,41.2,50.6,41.5,36.5,51.7
2024-08-21,49.8,40.9,49.6,40.3,36.6,50.8
2024-08-22,50.1,41.0,49.0,40.7,36.1,51.5
2024-08-23,48.5,39.9,48.9,39.7,35.4,50.2
2024-08-24,48.2,39.8,47.9,39.8,35.5,49.9
2024-08-25,47.7,39.3,47.0,39.3,35.1,49.3
2024-08-26,46.8,38.7,46.7,39.5,34.7,48.2
2024-08-27,46.4,38.8,46.9,38.1,34.6,47.7
2024-08-28,45.4,37.8,45.6,38.7,34.6,47.8
2024-08-29,44.7,37.9,44.5,37.8,34.0,47.0
2024-08-30,44.1,37.6,45.0,37.1,33.9,46.7
2024-08-31,43.7,37.6,43.9,37.4,33.5,45.9
2024-09-01,43.4,37.1,43.2,37.3,33.2,45.7
2024-09-02,42.2,37.0,42.7,36.8,33.1,44.9
2024-09-03,41.9,36.8,41.3,36.3,33.1,44.0
2024-09-04,41.8,36.2,41.9,36.1,33.0,43.9
2024-09-05,41.1,35.5,41.7,35.9,32.7,42.9
2024-09-06,40.6,35.2,40.5,35.5,32.2,42.5
2024-09-07,40.4,34.5,40.4,35.1,32.2,42.2
2024-09-08,39.7,34.5,39.4,34.5,31.4,41.7
2024-09-09,39.2,34.7,39.1,34.4,31.4,41.9
2024-09-10,38.6,33.9,39.2,33.8,31.3,41.5
2024-09-11,38.2,33.6,38.1,33.3,30.9,40.9
2024-09-12,38.0,33.3,38.0,33.5,30.8,40.0
2024-09-13,37.9,33.1,37.2,33.2,30.5,40.1
2024-09-14,37.1,32.5,37.0,33.0,30.5,39.2
2024-09-15,36.8,32.2,36.4,32.4,30.2,39.5
2024-09-16,36.3,32.3,36.4,32.2,29.6,38.4
2024-09-17,35.9,32.1,36.0,31.9,29.7,38.3
2024-09-18,35.7,31.4,35.8,31.7,28.9,37.9
2024-09-19,35.1,31.4,35.0,31.2,29.1,37.9
2024-09-20,35.0,30.8,34.5,30.9,29.0,37.3
2024-09-21,34.4,30.5,34.6,30.5,28.5,36.7
2024-09-22,34.0,30.5,34.5,30.8,28.4,36.5
2024-09-23,33.5,30.0,33.5,29.7,28.2,36.1
2024-09-24,33.5,29.6,33.4,29.7,27.7,35.4
2024-09-25,33.1,29.1,33.1,29.5,27.2,35.4
2024-09-26,32.9,29.3,32.7,29.0,27.3,34.9
2024-09-27,31.8,29.0,32.6,29.0,26.7,34.4
2024-09-28,31.8,28.7,31.8,29.0,26.4,34.3
2024-09-29,31.3,28.6,31.5,28.7,26.2,33.4
2024-09-30,31.6,28.0,31.6,28.2,25.8,33.2
2024-10-01,31.0,27.9,31.0,27.8,26.1,32.6
2024-10-02,30.3,27.8,30.6,27.5,25.4,32.5
2024-10-03,30.6,27.4,30.6,27.5,25.3,32.6
2024-10-04,30.2,26.8,30.1,27.4,25.2,31.9
2024-10-05,29.7,26.3,30.0,26.8,24.9,31.6
2024-10-06,29.7,26.5,29.6,26.6,25.0,31.5
2024-10-07,29.3,26.6,29.3,26.5,24.6,31.2
2024-10-08,29.4,26.3,29.1,26.1,24.1,31.3
2024-10-09,28.9,25.4,29.1,25.9,23.9,30.9
2024-10-10,28.6,25.8,28.6,25.5,23.7,30.7
2024-10-11,28.6,25.4,28.7,25.7,23.7,30.5
2024-10-12,27.8,25.3,28.2,25.4,23.1,30.2
2024-10-13,28.0,25.3,27.9,25.0,22.9,30.2
2024-10-14,27.8,24.8,27.8,24.5,23.0,29.7
2024-10-15,27.5,24.0,27.4,24.1,22.8,29.6
2024-10-16,27.1,24.1,27.5,24.4,22.3,29.5
2024-10-17,26.9,24.2,27.3,24.2,22.2,29.2
2024-10-18,26.7,23.6,26.9,23.8,21.8,28.8
2024-10-19,26.6,23.7,26.2,23.6,21.7,28.9
2024-10-20,26.4,23.6,26.2,23.5,21.5,28.4
2024-10-21,25.9,23.3,26.0,23.3,20.8,28.3
2024-10-22,25.9,23.1,26.1,23.1,20.8,28.1
2024-10-23,25.6,22.4,25.9,22.5,20.8,27.5
2024-10-24,25.1,22.5,25.5,22.7,20.5,27.5
2024-10-25,25.2,22.4,25.1,22.3,20.3,27.4
2024-10-26,24.8,21.9,25.0,21.9,19.8,27.2
2024-10-27,24.6,21.8,24.8,22.1,19.8,26.9
2024-10-28,24.2,21.7,24.5,21.9,19.5,26.7
2024-10-29,24.5,21.6,24.5,21.2,19.1,26.7
2024-10-30,24.4,21.3,24.1,21.4,18.9,26.5
2024-10-31,23.8,20.7,23.8,20.9,18.8,25.5
2024-11-01,23.7,20.7,24.0,20.5,19.0,25.8
2024-11-02,23.6,20.6,23.8,20.6,18.7,25.8
2024-11-03,23.3,20.3,23.7,20.5,18.2,25.2
2024-11-04,23.0,20.3,23.5,20.3,18.1,25.2
2024-11-05,22.8,19.7,23.1,19.8,17.9,24.7
2024-11-06,22.6,20.1,22.7,19.7,18.0,24.5
2024-11-07,22.5,19.3,22.7,19.6,17.5,24.8
2024-11-08,22.1,19.0,22.4,19.1,17.4,24.5
2024-11-09,22.1,19.1,22.3,19.1,17.4,24.4
2024-11-10,22.1,18.9,22.1,19.3,16.8,23.9
2024-11-11,21.6,18.7,21.7,18.5,16.8,23.8
2024-11-12,21.8,18.8,21.5,18.6,16.6,23.3
2024-11-13,21.6,18.6,21.3,18.4,16.1,23.5
2024-11-14,21.3,18.5,21.5,18.4,16.6,23.1
2024-11-15,21.1,18.2,20.8,18.1,16.2,23.2
2024-11-16,21.2,17.5,20.8,17.7,15.8,22.9
2024-11-17,20.9,17.8,20.6,17.6,15.4,22.9
2024-11-18,20.7,17.8,20.6,17.6,15.6,22.2
2024-11-19,20.1,17.2,20.5,17.1,15.5,22.2
2024-11-20,20.1,17.4,20.3,17.2,15.3,22.1
2024-11-21,20.0,16.9,20.1,17.3,14.9,22.1
2024-11-22,19.7,17.2,19.4,17.1,14.8,22.1
2024-11-23,19.8,16.8,20.0,16.8,14.7,21.5
2024-11-24,19.7,16.4,19.4,16.6,14.9,21.5
2024-11-25,19.5,16.3,19.6,15.9,14.7,21.2
2024-11-26,19.6,16.6,19.6,16.6,14.6,21.4
2024-11-27,19.1,15.7,19.3,16.3,14.3,21.4
2024-11-28,19.1,15.8,19.0,16.3,13.7,21.0
2024-11-29,18.9,15.6,18.7,15.8,13.8,20.7
2024-11-30,18.8,16.2,18.7,16.2,13.8,20.7
2024-12-01,18.8,15.7,18.9,15.4,13.7,20.9
2024-12-02,18.5,15.8,18.4,15.3,13.3,20.7
2024-12-03,18.7,15.3,18.8,15.1,13.6,20.6
2024-12-04,18.6,15.5,18.7,15.0,13.7,20.4
2024-12-05,18.0,15.3,18.2,15.2,12.8,20.3
2024-12-06,18.2,15.0,17.8,15.2,13.4,20.3
2024-12-07,18.1,15.3,18.2,15.0,12.7,20.1
2024-12-08,17.8,15.1,18.1,15.2,12.9,19.9
2024-12-09,17.8,14.8,17.6,14.6,12.7,19.8
2024-12-10,17.9,14.8,17.7,14.8,12.8,19.7
2024-12-11,17.9,14.7,17.8,14.7,12.9,19.6
2024-12-12,17.7,14.7,17.7,14.6,12.3,19.3
2024-12-13,17.4,14.6,17.1,14.6,12.5,19.2
2024-12-14,17.2,14.6,17.6,14.2,12.4,19.5
2024-12-15,17.5,14.3,17.5,14.0,12.4,19.1
2024-12-16,17.0,14.4,17.5,14.4,12.4,19.3
2024-12-17,17.0,14.0,17.4,14.4,12.3,19.6
2024-12-18,16.8,14.2,17.1,14.2,12.3,19.2
2024-12-19,17.2,14.1,17.2,14.0,12.2,19.0
2024-12-20,17.1,14.0,17.1,13.9,12.1,19.2
2024-12-21,17.1,13.9,16.7,13.8,12.0,19.0
2024-12-22,17.2,14.2,17.0,13.9,11.9,19.1
2024-12-23,16.7,13.7,17.2,14.0,11.7,19.1
2024-12-24,16.6,14.0,16.8,14.1,11.9,18.8
2024-12-25,17.1,13.7,17.1,14.0,11.7,18.6
2024-12-26,17.1,14.1,17.0,13.9,11.9,19.2
2024-12-27,16.7,13.7,16.9,13.5,11.7,18.4
2024-12-28,16.5,14.0,16.7,13.8,11.7,18.7
2024-12-29,16.8,13.9,16.9,13.6,11.9,18.8
2024-12-30,16.8,13.3,16.3,14.0,11.9,18.5
2024-12-31,16.7,13.7,16.8,13.9,11.6,18.4
