Time,S1,S2,S3,S4,SB,SD
8.64,41.1,38.1,41.0,38.2,36.0,43.1
8.88,41.3,38.3,41.2,38.3,36.2,43.3
9.12,41.9,38.6,41.9,38.6,36.6,43.8
9.36,42.8,39.1,42.9,39.1,36.6,44.8
9.60,44.0,39.6,43.9,39.7,37.1,45.7
9.84,44.9,40.2,44.9,40.1,37.3,46.5
10.08,46.1,40.7,46.1,40.7,37.5,47.4
10.32,47.1,41.1,47.0,41.2,37.8,48.4
10.56,48.1,41.6,48.0,41.7,38.0,49.4
10.80,49.3,42.1,49.2,42.2,38.2,50.3
11.04,50.2,42.6,50.2,42.6,38.4,51.2
11.28,51.1,43.2,51.3,43.1,38.6,52.1
11.52,52.2,43.5,52.3,43.5,38.9,53.0
11.76,53.3,44.0,53.1,44.0,39.1,53.8
12.00,54.2,44.3,54.2,44.4,39.2,54.7
12.24,55.1,44.9,55.0,44.9,39.5,55.5
12.48,56.1,45.1,56.2,45.2,39.6,56.2
12.72,57.0,45.6,57.0,45.6,39.6,57.2
12.96,57.8,45.9,57.9,46.1,39.8,57.9
13.20,58.7,46.3,58.8,46.3,39.8,58.7
13.44,59.2,46.5,59.2,46.6,39.9,59.4
13.68,59.8,46.8,59.7,46.8,40.0,59.8
13.92,60.3,47.2,60.2,47.1,40.1,60.3
14.16,59.8,46.9,59.8,46.8,39.8,60.0
14.40,59.1,46.3,59.0,46.3,39.5,59.2
14.64,58.0,45.6,57.9,45.7,39.2,58.2
14.88,57.0,45.1,56.9,45.1,39.1,57.1
15.12,55.8,44.4,55.7,44.5,38.6,56.1
15.36,54.5,44.0,54.5,43.8,38.3,55.2
15.60,53.3,43.3,53.3,43.2,38.0,54.1
15.84,52.2,42.8,52.0,42.7,37.8,53.0
16.08,51.1,42.1,50.9,42.1,37.3,52.0
16.32,49.7,41.5,49.8,41.5,37.1,50.9
16.56,48.6,40.9,48.7,40.9,36.7,50.0
16.80,47.5,40.4,47.5,40.3,36.4,48.9
17.04,46.4,39.6,46.4,39.7,36.1,47.9
17.28,45.5,39.2,45.4,39.2,35.8,47.0
17.52,44.3,38.7,44.3,38.6,35.4,46.0
17.76,43.4,38.0,43.2,38.0,35.1,45.1
18.00,42.3,37.6,42.3,37.5,34.7,44.0
18.24,39.1,36.0,39.0,36.0,34.1,41.1
18.48,38.8,35.8,38.9,35.9,33.8,40.8
18.72,38.7,35.7,38.7,35.6,33.7,40.6
18.96,38.5,35.4,38.5,35.5,33.4,40.6
19.20,38.3,35.4,38.3,35.3,33.2,40.2
19.44,38.1,35.1,38.0,35.1,33.2,40.1
19.68,37.9,35.0,37.9,35.0,32.9,40.0
19.92,37.7,34.7,37.8,34.8,32.7,39.7
20.16,37.6,34.6,37.5,34.6,32.6,39.6
20.40,37.4,34.5,37.5,34.5,32.4,39.5
20.64,37.3,34.3,37.3,34.4,32.3,39.3
20.88,37.1,34.1,37.2,34.2,32.2,39.2
21.12,37.0,34.0,37.1,34.0,32.1,39.0
21.36,36.9,33.9,36.8,33.9,31.9,39.0
21.60,36.7,33.8,36.7,33.8,31.8,38.8
21.84,36.7,33.7,36.6,33.7,31.7,38.7
22.08,36.6,33.6,36.6,33.6,31.5,38.5
22.32,36.4,33.5,36.5,33.5,31.5,38.6
22.56,36.4,33.4,36.5,33.4,31.4,38.4
22.80,36.4,33.4,36.4,33.3,31.4,38.4
23.04,36.2,33.3,36.3,33.4,31.3,38.3
23.28,36.4,33.2,36.3,33.2,31.3,38.2
23.52,36.3,33.2,36.2,33.3,31.3,38.3
23.76,36.2,33.2,36.2,33.2,31.3,38.2
